TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
10253,DPW Maintained,Lophostemon confertus :: Brisbane Box,129X Haight St,1,Sidewalk: Curb side : Cutout,DPW,11/7/07 0:00,6,3X3,37.77281311,-122.4243455
214676,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2690 16th Ave,1,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.73782707,-122.47203
90945,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,4400X Balboa St,2,Sidewalk: Curb side : Cutout,DPW,3/29/18 0:00,3,3x3,37.7753983,-122.5061234
244970,DPW Maintained,Prunus cerasifera :: Cherry Plum,213 Rose St,2,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.77332464,-122.4243935
21922,DPW Maintained,Lophostemon confertus :: Brisbane Box,2298 03rd St,2,Sidewalk: Curb side : Cutout,DPW,1/20/95 0:00,6,2x3,37.76079559,-122.3888988
94852,Undocumented,Prunus cerasifera :: Cherry Plum,769 Joost Ave,1,Front Yard : Yard,Private,,6,,37.73218318,-122.4526302
103115,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,600 Harrison St,4,Sidewalk: Curb side : Cutout,Private,,9,3x3,37.78408889,-122.3955807
245000,DPW Maintained,Prunus cerasifera :: Cherry Plum,1458 Page St,1,Sidewalk: Curb side : Cutout,Private,,4,Width 0ft,37.7713132,-122.4446797
30598,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,66 Webster St,1,Sidewalk: Curb side : Cutout,Private,1/26/95 0:00,12,,37.77081114,-122.4284092
208296,Undocumented,Lophostemon confertus :: Brisbane Box,820 Bosworth St,3,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.73404956,-122.4362381
236543,DPW Maintained,Prunus cerasifera :: Cherry Plum,103x Tompkins Ave,3,Sidewalk: Curb side : Cutout,Private,,4,Width 2ft,37.73732457,-122.4158391
202501,DPW Maintained,Lophostemon confertus :: Brisbane Box,85 Townsend St,6,Sidewalk: Curb side : Cutout,Private,,11,Width 4ft,37.78156804,-122.3891453
9341,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,201 Gold Mine Dr,2,Sidewalk: Curb side : Cutout,Private,4/21/95 0:00,18,2X2,37.74229995,-122.4400265
61072,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1403 Lyon St,1,Sidewalk: Curb side : Cutout,Private,8/1/05 0:00,3,,37.78385816,-122.4447687
214896,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,199 Lomita Ave,2,Sidewalk: Property side : Yard,Private,,6,Width 4ft,37.75721456,-122.4732057
127147,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2889 Washington St,4,Sidewalk: Curb side : Cutout,Private,,12,Width 3ft,37.79073745,-122.4405714
102038,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3601X Jennings St,4,Sidewalk: Curb side : Cutout,Private,,5,3x3,37.71742714,-122.3970211
102307,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,1320 Stevenson St,2,Sidewalk: Curb side : Cutout,Private,,3,3x3,37.77086845,-122.4225144
104798,Undocumented,Platanus x hispanica :: Sycamore: London Plane,342 Howard St,2,Sidewalk: Curb side : Cutout,Private,7/13/15 0:00,3,3x3,37.78965613,-122.3946914
54079,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2200 Chestnut St,1,Sidewalk: Curb side : Cutout,Private,4/27/72 0:00,23,,37.80045927,-122.4396328
219705,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,963 Shotwell St,1,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.75305115,-122.4151716
60750,Permitted Site,Magnolia grandiflora :: Southern Magnolia,440 27th St,1,Sidewalk: Curb side : Cutout,Private,2/17/83 0:00,14,6x6,37.74677906,-122.430118
232670,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,59 Prospect Ave,1,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.74389033,-122.4184995
209858,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,355 Parnassus Ave,7,Sidewalk: Property side : Yard,Private,,14,Width 5ft,37.76369825,-122.4567515
192162,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1500 Mission St,5,Sidewalk: Curb side : Cutout,DPW,,29,Width 5ft,37.77390587,-122.4177929
112397,Undocumented,Metrosideros excelsa :: New Zealand Xmas Tree,60 27TH AVE,1,Sidewalk: Curb side : Cutout,Private,,20,6x20,37.78807616,-122.4873958
245160,DPW Maintained,Prunus cerasifera :: Cherry Plum,101 Lyon St,1,Sidewalk: Curb side : Cutout,Private,,4,Width 0ft,37.77176411,-122.4423059
133521,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,150 Walnut St,5,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.79000477,-122.4489979
79285,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2722 Fulton St,1,Sidewalk: Curb side : Cutout,Private,,5,,37.77407398,-122.4610811
138300,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2517 CALIFORNIA ST,2,Sidewalk: Curb side : Cutout,DPW,,13,Width 0ft,37.78853222,-122.4360545
57593,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,600 Steiner St,1,Sidewalk: Curb side : Cutout,Private,11/4/76 0:00,3,,37.77482629,-122.4326022
210451,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,755 Ocean Ave,3,Sidewalk: Property side : Yard,Private,,19,Width 4ft,37.72284343,-122.4490021
83357,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,3036-3038 Gough St,1,Sidewalk: Curb side : Cutout,Private,7/1/09 0:00,4,3x3,37.80145938,-122.4278634
8641,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2600X Geary Blvd,4,Sidewalk: Curb side : Cutout,DPW,,12,3x3,37.78257547,-122.4464578
133081,DPW Maintained,Pittosporum undulatum :: Victorian Box,1318 Filbert St,1,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.79994057,-122.4210605
185618,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2100 Sunset Blvd,4,Sidewalk: Curb side : Yard,Private,,10,Width 0ft,37.74697796,-122.4946354
29399,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,2923X Ingalls St,3,Sidewalk: Curb side : Cutout,Private,,3,3x3,37.72054076,-122.3916177
78309,DPW Maintained,Pittosporum undulatum :: Victorian Box,455 Lisbon St,1,Sidewalk: Curb side : Cutout,Private,,11,,37.72112147,-122.4341809
135171,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1415 The Embarcadero,4,Sidewalk: Curb side : Cutout,Private,,6,Width 5ft,37.80870744,-122.4129187
213562,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,145 Hazelwood Ave,3,Sidewalk: Curb side : Yard,Private,,7,Width 3ft,37.73092486,-122.4546059
241967,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1 Holly Park Cir,3,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.73817474,-122.4203332
238101,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,544 Capp St,2,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.75793059,-122.4179784
208734,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1722 18th Ave,1,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.75565896,-122.4754243
211984,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1215 Capitol Ave,6,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.72394807,-122.4592871
212541,DPW Maintained,Prunus cerasifera :: Cherry Plum,165 Terrace Walk,1,Sidewalk: Curb side : Yard,Private,,5,Width 6ft,37.73641678,-122.4637744
193861,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,90 Stevenson St,3,Sidewalk: Curb side : Pot,Private,,10,Width 4ft,37.78898741,-122.4006746
12189,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1463 La Salle Ave,1,Sidewalk: Curb side : Cutout,DPW,,2,,37.73478293,-122.3861559
62156,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2165 Beach St,1,Sidewalk: Curb side : Cutout,Private,9/4/85 0:00,9,,37.80349283,-122.4447669
250961,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,6638 California St,1,Sidewalk: Curb side : Yard,Private,,13,Width 4ft,37.78373911,-122.4898721
130567,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,100 Maple St,6,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.78934656,-122.4555946
62816,DPW Maintained,Pittosporum undulatum :: Victorian Box,1610 Golden Gate Ave,1,Sidewalk: Curb side : Cutout,Private,7/8/86 0:00,7,,37.77895637,-122.4372779
